[17:34:970] [FINE  ] 2 - score: 160 
[17:34:970] [FINE  ] 2 - Try placing WHITE at: 4,9 
[17:34:973] [FINE  ] 1 - Try placing BLACK at: 6,9 
[17:34:974] [FINE  ] WHITE's scenario: 230 
[17:34:975] [FINE  ] 1 - score: 230 
[17:34:975] [FINE  ] BLACK best move609 and depth is 1 best score is 230(Branch factor:1; Scenarios Evaluated:1) 
[17:34:976] [FINE  ] 2 - score: 230 
[17:34:976] [FINE  ] 2 - Try placing WHITE at: 6,9 
[17:34:978] [FINE  ] 1 - Try placing BLACK at: 4,9 
[17:34:979] [FINE  ] WHITE's scenario: 230 
[17:34:979] [FINE  ] 1 - score: 230 
[17:34:979] [FINE  ] BLACK best move409 and depth is 1 best score is 230(Branch factor:1; Scenarios Evaluated:1) 
[17:34:980] [FINE  ] 2 - score: 230 
[17:34:980] [FINE  ] 2 - Try placing WHITE at: 4,6 
[17:34:981] [FINE  ] 1 - Try placing BLACK at: 3,6 
[17:34:982] [FINE  ] WHITE's scenario: 160 
[17:34:983] [FINE  ] 1 - score: 160 
[17:34:983] [FINE  ] BLACK best move306 and depth is 1 best score is 160(Branch factor:1; Scenarios Evaluated:1) 
[17:34:983] [FINE  ] 2 - score: 160 
[17:34:983] [FINE  ] 2 - Try placing WHITE at: 6,6 
[17:34:985] [FINE  ] 1 - Try placing BLACK at: 7,6 
[17:34:986] [FINE  ] WHITE's scenario: 160 
[17:34:986] [FINE  ] 1 - score: 160 
[17:34:986] [FINE  ] BLACK best move706 and depth is 1 best score is 160(Branch factor:1; Scenarios Evaluated:1) 
[17:34:986] [FINE  ] 2 - score: 160 
[17:34:986] [FINE  ] 2 - Try placing WHITE at: 5,5 
[17:34:988] [FINE  ] 1 - Try placing BLACK at: 4,9 
[17:34:990] [FINE  ] WHITE's scenario: 110 
[17:34:990] [FINE  ] 1 - score: 110 
[17:34:991] [FINE  ] 1 - Try placing BLACK at: 6,9 
[17:34:992] [FINE  ] WHITE's scenario: 110 
[17:34:992] [FINE  ] 1 - score: 110 
[17:34:992] [FINE  ] 1 - Try placing BLACK at: 3,6 
[17:34:993] [FINE  ] WHITE's scenario: 80 
[17:34:993] [FINE  ] 1 - score: 80 
[17:34:993] [FINE  ] 1 - Try placing BLACK at: 7,6 
[17:34:994] [FINE  ] WHITE's scenario: 80 
[17:34:995] [FINE  ] 1 - score: 80 
